current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,77437,PMP,"English, Hindi",Onsite,3,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,87879,Scrum Master,"English, French",Remote,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,66020,Scrum Master,"English, Hindi",Hybrid,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,89666,AWS Certified,"English, Spanish",Hybrid,3,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,59480,Microsoft Azure,"English, Spanish",Hybrid,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,81743,Scrum Master,"English, French",Remote,10,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,75292,AWS Certified,"English, Spanish",Hybrid,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,72570,AWS Certified,"English, German",Remote,4,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,95755,None,English,Onsite,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,97564,Google Data Analytics,English,Remote,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,82803,AWS Certified,"English, German",Remote,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,84970,None,English,Hybrid,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,54409,Microsoft Azure,"English, Spanish",Hybrid,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,84184,Certified UX Designer,"English, Spanish",Hybrid,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,55573,Microsoft Azure,"English, Spanish",Hybrid,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,80308,Certified UX Designer,English,Hybrid,4,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,83184,Google Data Analytics,English,Remote,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,54557,Google Data Analytics,"English, Spanish",Remote,1,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,84674,Certified UX Designer,"English, German",Remote,8,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,84779,Certified UX Designer,"English, German",Onsite,8,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,73695,AWS Certified,"English, French",Remote,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75737,AWS Certified,"English, German",Remote,7,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,82005,Certified UX Designer,"English, Spanish",Hybrid,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,69051,AWS Certified,"English, French",Remote,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,81100,AWS Certified,"English, German",Remote,5,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,96466,Google Data Analytics,English,Onsite,7,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,58501,Scrum Master,English,Remote,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,67307,Certified UX Designer,"English, German",Remote,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,60961,Microsoft Azure,"English, Spanish",Hybrid,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,67738,Certified UX Designer,"English, Spanish",Onsite,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,70736,DataCamp Track,"English, Spanish",Remote,10,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,70234,AWS Certified,"English, German",Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,106106,DataCamp Track,"English, Spanish",Onsite,10,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,94160,None,English,Onsite,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,74523,AWS Certified,"English, German",Onsite,6,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,70764,PMP,"English, French",Onsite,9,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,99888,None,English,Onsite,6,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,59121,Google Data Analytics,"English, German",Hybrid,2,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,103348,Google Data Analytics,"English, German",Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,73182,AWS Certified,"English, German",Remote,8,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,70670,AWS Certified,"English, French",Remote,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,69637,Certified UX Designer,"English, Spanish",Onsite,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,84793,Scrum Master,"English, French",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,68133,Google Data Analytics,"English, German",Hybrid,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,84809,AWS Certified,"English, German",Onsite,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,92009,Google Data Analytics,"English, German",Onsite,11,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,106874,None,"English, German",Hybrid,7,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,72944,Google Data Analytics,"English, French",Onsite,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,96735,Microsoft Azure,"English, Spanish",Onsite,13,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,92010,None,"English, German",Hybrid,8,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,73345,DataCamp Track,"English, German",Remote,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,86239,DataCamp Track,"English, Spanish",Remote,12,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,72973,PMP,"English, Hindi",Onsite,2,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,86159,Scrum Master,"English, French",Remote,8,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,96422,Google Data Analytics,"English, Hindi",Hybrid,10,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,96782,None,English,Onsite,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,77797,Certified UX Designer,"English, Hindi",Remote,9,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,77833,None,English,Hybrid,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,60219,Certified UX Designer,"English, Spanish",Onsite,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,61559,Microsoft Azure,"English, Spanish",Hybrid,4,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,68742,DataCamp Track,English,Onsite,8,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,70490,Scrum Master,"English, French",Hybrid,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,94924,Google Data Analytics,"English, German",Onsite,9,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,73698,AWS Certified,"English, French",Remote,3,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,81920,DataCamp Track,"English, Spanish",Onsite,9,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,103188,Google Data Analytics,"English, French",Hybrid,4,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,105023,None,"English, German",Hybrid,9,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,96298,Google Data Analytics,"English, German",Onsite,10,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,90099,PMP,"English, Hindi",Onsite,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,77870,AWS Certified,"English, Spanish",Onsite,7,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,98881,None,English,Onsite,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,81206,Certified UX Designer,"English, Spanish",Hybrid,1,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,75228,DataCamp Track,"English, Spanish",Remote,12,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,66491,PMP,"English, French",Onsite,6,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,71375,None,English,Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,73056,Certified UX Designer,"English, German",Hybrid,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,75069,Certified UX Designer,"English, Hindi",Remote,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,58415,Google Data Analytics,"English, French",Remote,6,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,82878,Certified UX Designer,"English, Hindi",Remote,8,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,79732,AWS Certified,"English, French",Remote,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,74916,Certified UX Designer,English,Hybrid,3,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,70826,DataCamp Track,"English, Spanish",Remote,13,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,73936,Certified UX Designer,"English, Hindi",Remote,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,60959,Microsoft Azure,"English, Spanish",Hybrid,1,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,88401,PMP,"English, Hindi",Onsite,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,74614,Certified UX Designer,English,Hybrid,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,67817,None,English,Hybrid,5,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,87728,Certified UX Designer,"English, German",Onsite,11,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,53051,Scrum Master,English,Remote,5,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,74650,Scrum Master,"English, French",Hybrid,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,94881,AWS Certified,"English, Spanish",Hybrid,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,89570,PMP,"English, Hindi",Onsite,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,79692,Certified UX Designer,English,Hybrid,1,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,69981,Google Data Analytics,"English, Spanish",Remote,4,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,66573,Certified UX Designer,"English, Hindi",Remote,7,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,80850,Scrum Master,"English, French",Remote,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,68281,AWS Certified,"English, German",Onsite,9,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,76700,Scrum Master,"English, French",Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,75246,AWS Certified,"English, Spanish",Onsite,6,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,68540,Google Data Analytics,"English, French",Remote,8,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,107528,None,English,Onsite,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,92234,AWS Certified,"English, French",Remote,2,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,100877,Google Data Analytics,English,Remote,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,109005,Google Data Analytics,"English, French",Hybrid,8,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,56134,Microsoft Azure,"English, Spanish",Hybrid,5,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,77995,Certified UX Designer,"English, Spanish",Hybrid,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,91656,Google Data Analytics,"English, French",Hybrid,7,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,56825,AWS Certified,"English, French",Hybrid,13,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,78477,Certified UX Designer,"English, German",Remote,6,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,66437,AWS Certified,"English, French",Hybrid,11,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,84211,DataCamp Track,"English, Spanish",Remote,11,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,99051,Certified UX Designer,"English, Hindi",Hybrid,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,57658,PMP,"English, French",Onsite,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,66581,Google Data Analytics,"English, German",Hybrid,2,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,85373,AWS Certified,"English, French",Remote,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,80195,Certified UX Designer,"English, Hindi",Remote,5,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,79719,Certified UX Designer,"English, German",Hybrid,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,74289,Certified UX Designer,"English, Hindi",Remote,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,61606,PMP,"English, French",Onsite,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,85120,DataCamp Track,"English, Spanish",Remote,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,72379,None,"English, German",Remote,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,89876,Certified UX Designer,English,Hybrid,3,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,61742,Google Data Analytics,"English, Spanish",Remote,1,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,93080,None,"English, German",Hybrid,7,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,75932,PMP,"English, French",Onsite,10,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,79609,Certified UX Designer,English,Hybrid,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,108231,Microsoft Azure,"English, Hindi",Remote,10,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,58065,PMP,"English, French",Onsite,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,76552,Scrum Master,"English, French",Hybrid,7,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,93052,Google Data Analytics,"English, Hindi",Hybrid,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,High,97881,Google Data Analytics,English,Onsite,9,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,86860,Microsoft Azure,"English, Spanish",Onsite,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,89477,Google Data Analytics,"English, Hindi",Hybrid,11,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,90587,PMP,"English, Hindi",Onsite,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,99240,Microsoft Azure,"English, Hindi",Remote,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,86439,Google Data Analytics,"English, Hindi",Hybrid,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,95056,AWS Certified,"English, Spanish",Hybrid,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,54786,Google Data Analytics,"English, German",Hybrid,2,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,73724,None,"English, German",Remote,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,97529,AWS Certified,"English, French",Remote,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,73325,Certified UX Designer,"English, Hindi",Remote,10,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,71164,Microsoft Azure,"English, Spanish",Hybrid,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,80936,PMP,"English, Hindi",Onsite,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,82224,None,"English, German",Hybrid,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,80386,AWS Certified,"English, German",Remote,4,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,107228,DataCamp Track,"English, Spanish",Onsite,10,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,59754,Microsoft Azure,"English, Spanish",Hybrid,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,73032,AWS Certified,"English, Spanish",Onsite,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,71292,Certified UX Designer,"English, German",Hybrid,11,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,63802,Google Data Analytics,"English, French",Remote,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,68973,Certified UX Designer,"English, Hindi",Remote,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,77353,Google Data Analytics,"English, French",Onsite,5,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,108129,Microsoft Azure,"English, Hindi",Remote,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,85783,Certified UX Designer,English,Hybrid,3,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,61662,PMP,"English, French",Onsite,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,90714,Certified UX Designer,"English, Hindi",Hybrid,3,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,82101,Certified UX Designer,"English, Hindi",Hybrid,3,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,108558,Google Data Analytics,English,Onsite,9,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,98625,Google Data Analytics,English,Remote,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,92718,DataCamp Track,"English, French",Remote,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,71629,DataCamp Track,English,Onsite,7,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,75283,Google Data Analytics,"English, French",Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,106790,Google Data Analytics,"English, German",Onsite,10,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,76203,None,"English, German",Remote,9,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,82725,Certified UX Designer,"English, Hindi",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,84875,None,English,Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,56425,Google Data Analytics,"English, French",Remote,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,87661,Certified UX Designer,English,Hybrid,5,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,66178,Google Data Analytics,"English, Spanish",Remote,2,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,95534,AWS Certified,"English, French",Remote,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,68602,AWS Certified,"English, Spanish",Onsite,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,66215,PMP,"English, French",Onsite,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,56842,Google Data Analytics,"English, Spanish",Hybrid,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,94286,Microsoft Azure,"English, Spanish",Onsite,12,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,82679,None,"English, German",Remote,8,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,93224,Google Data Analytics,"English, German",Onsite,13,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,53577,Google Data Analytics,"English, Spanish",Hybrid,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,96188,Certified UX Designer,"English, German",Onsite,9,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,91169,Microsoft Azure,"English, Hindi",Remote,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,94287,Certified UX Designer,"English, German",Onsite,8,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,72079,AWS Certified,"English, French",Remote,6,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,76359,PMP,"English, Hindi",Remote,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,88539,PMP,"English, French",Onsite,7,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85697,AWS Certified,"English, Spanish",Hybrid,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,96148,Certified UX Designer,"English, Hindi",Hybrid,6,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,85995,None,"English, German",Remote,6,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,70259,Microsoft Azure,"English, Spanish",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,75249,Certified UX Designer,"English, German",Hybrid,8,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,88470,AWS Certified,"English, German",Onsite,12,3
